Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
give me leave (for trial of that love that from your brother Bussy you inheritest) to unclasp your bosom.,social_relations,emotions,familial,economics,clothes,anatomy,
"Be a true glass to me, in which I may behold what thoughts the many headed-beast, and you your self breathes out concerning me",appearance,sensations,mental_faculty__state__entities,quantities,anatomy,animals,breathing
let your words be born as naked as your thoughts,language,reproduction,clothes,mental_faculty__state__entities,,,
"emptied even the dregs of his worst thoughts of me, even to my teeth;",consumption,food,mental_faculty__state__entities,anatomy,,,
Discerned not me his rising sovereign from any common groom,mental_faculty__state__entities,physical_activities,politics,social_status,,,
A man does never know the goodness of his stomach till he sees meat before him. ,mental_faculty__state__entities,ethics,anatomy,sensations,food,spatial,
Dare then to pour out here your freest soul of what I am.,character_traits__nature,consumption,social_relations,religion,,,
it [your soul] is stale,religion,food,,,,,
you wilt sing Encomions of my praise,music,recognition,,,,,
"A ragged couple of decayed Commanders, When a French-crown would plentifully serve To buy you both to any thing in the earth.",clothes,consumption,military,economics,nature,,
"The most renowned Soldier, Epaminondas (as good Authors say), Had no more suits than backs",recognition,military,historical,language,quantities,accommodation,anatomy
"both your studies Were not what meat to dine with; if your Partridge, Your Snipe, your Woodcock, Lark, or your red Herring, But where to beg it,",education,food,animals,economics,,,
Came to the Court first in a Keel of Sea-coal;,politics,nautical,nature,,,,
why have I raked thee Out of the dung-hill? cast my cast Wardrobe on thee? Brought thee to Court,architecture,anatomy,clothes,politics,,,
Have I blown both for nothing to this bubble?,breathing,privation,nature,,,,
Though you art learned; you hast no enchanting wit,education,mystical,mental_faculty__state__entities,,,,
Many a proud dubbed Gallant Seeks out a poor Knight's living from such Haemorrhoids.,character_traits__nature,social_status,discovering,economics,medicine,,
"put thee Into my bosom, to undermine my projects?",spatial,anatomy,destruction,politics,,,
"I fear thee not; for though I be not sure I have your heart, I know your brain-pan yet To be as empty a dull piece of wainscot As ever armed the scalp of any Courtier;",emotions,anatomy,mental_faculty__state__entities,spatial,architecture,weapons__armor,politics
"A fellow only that consists of sinews; Mere Swisser, apt for any execution.",social_relations,anatomy,ethnicity__nationality,etiquette,violence,,
I would have given a million [coins] to have heard His scoffs retorted,quantities,economics,sensations,derision__offense___contempt,language,,
the insolence Of his high birth and greatness  Made show to his dull eyes,derision__offense___contempt,reproduction,social_status,appearance,anatomy,,
"knowing virtues, Without which Greatness is a shade, a bubble.",mental_faculty__state__entities,ethics,privation,social_status,darkness,nature,
"Wealthy possessions, when won to their hands, They neither can judge justly of their value, Nor know their use;",economics,anatomy,judiciary,mental_faculty__state__entities,,,
they are puffed With such proud tumours,breathing,character_traits__nature,medicine,,,,
"households being less, so Fortune raises Huge heaps of outside in these mighty men, And gives them nothing in them.",domestic,mystical,size,quantities,spatial,social_relations,privation
"they had rather drown their substance In superfluities of bricks and stones; (Like Sysiphus, advancing of them ever, And ever pulling down) ",violence,economics,architecture,myth,labor,spatial,
"[they had rather drown their substance In superfluities of bricks and stones;] than lay the cost Of any sluttish corner, on a man, Built with God's finger, and enstilled his Temple.",violence,economics,architecture,cleaning,spatial,religion,anatomy
"Brought upon Stages, to let mighty Misers See all their grave and serious miseries, played, As once they were in Athens, and old Rome.",theatre,economics,sensations,death,suffering,historical,
"When wheresoever goodness comes, she makes The place still sacred; though with other feet Never so much tis scandaled, and polluted.",ethics,women,spatial,religion,anatomy,etiquette,medicine
"Let me learn any thing that fits a man, In any Stables shown, as well as Stages.",education,etiquette,men,equestrian,theatre,,
is not all the world esteemed a Stage?,nature,mental_faculty__state__entities,theatre,,,,
"Is a man proud of greatness, or of riches? Give me an expert Actor; I'll shew all, That can within his greatest glory fall.",character_traits__nature,social_status,economics,theatre,recognition,destruction,
"Is a man afraid with poverty and lowness? Give me an Actor, I'll shew every eye What he laments so, and so much doth fly",emotions,economics,theatre,anatomy,animals,,
"To make the proudest outside that most swells, With things without him, and above his worth, See how small cause hee has to be so blown up;",character_traits__nature,spatial,size,economics,sensations,mental_faculty__state__entities,
"the most poor man, to be grieved with poorness, Both being so easily borne by expert Actors.",economics,emotions,suffering,theatre,,,
"The Stage and Actors are not so contemptful, As every innovating Puritan, And ignorant sweater out of zealous envy, Would have the world imagine.",theatre,derision__offense___contempt,religion,mental_faculty__state__entities,anatomy,emotions,politics
"That all things have been likened to the mirth, used upon Stages, and for Stages fitted.",nature,joviality,theatre,,,,
"The splenative Philosopher that ever Laught at them all, were worthy the enstaging",anatomy,education,joviality,recognition,theatre,,
"All obiects, were they never so full of tears, He [the philosopher] so conceited, that he could distill thence Matter that still fed his ridiculous humour.",materials,quantities,anatomy,mental_faculty__state__entities,alchemy,food,
"he [the philosopher] supposed all these presentments, Were onely maskeries, and wore false faces",education,mental_faculty__state__entities,judiciary,theatre,deception,anatomy,
"Revenge, that ever red sitt'st in the eyes Of injured Ladies, till we crown your brows With bloody Laurel;",violence,colors,anatomy,etiquette,women,politics,nature
"receive from thee justice for all our humors injury, Whose wings none fly, that Wrath or Tyranny Have ruthless made, and bloody.",judiciary,anatomy,injuries,animals,emotions,politics,violence
"Revenge, enter: and, though length of time Never lets any escape your constant justice, Yet now prevent that length. ",violence,spatial,time,danger__safety,ethics,privation,
"Revenge, fly, and here Fix your steel footsteps: ",violence,animals,adhesion,materials,movement,,
"here, where still Earth (moved with pitty) yielded and embraced My Love's fair figure, ",nature,movement,social_relations,affection,emotions,appearance,
"[Earth] drawn in his [Lover] deare blood, And marked the place, to show thee [revenge]",nature,emotions,anatomy,language,spatial,violence,
where was done The cruelest murder that ere fled the Sun.,ethics,violence,danger__safety,nature,,,
"O Earth! why keepest you not as well his spirit, To give his form life? ",nature,preservation,religion,appearance,life,,
"That (rarifying the thin and yielding air) Flew sparkling up into the Sphere of fire, Whence endless flames it sheds in my desire:",alchemy,spatial,nature,astrology,fire,sexuality,
"Here be my daily pallet, here all nights That can be wrested from your rivals arms;",time,sleep,darkness,violence,social_relations,anatomy,
"kiss Spirit into your blood, ",sexuality,religion,spatial,anatomy,,,
"breathe out mine [SPIRIT] In sighes, and kisses, and sad tunes to thine.",breathing,spatial,religion,sounds,sexuality,emotions,music
This blood that Cockatrice-like thus you brood'st To dry is to breed any quench to thine.,anatomy,myth,mental_faculty__state__entities,reproduction,consumption,,
if only for your lust A little covered with a vail of shame),sexuality,concealment,clothes,etiquette,,,
"Look out for fresh life, rather then witch-like, Learn to kiss horror, and with death engender.",life,mystical,education,sexuality,emotions,death,danger__safety
"Strange cross in nature, purest virgin shame Lies in the blood, as lust lies",mental_faculty__state__entities,character_traits__nature,cleaning,sexuality,etiquette,anatomy,
"as worthiest Poets Shun common and plebeian forms of speech, Every illiberal and affected phrase To clothe their matter: and together tie Matter and form, with Art and decency, So worthiest women should shun vulgar guises",art,privation,language,social_relations,clothes,appearance,women
"modesty, the matter of their [women's] lives, Be it adulterate, should be painted true With modest out-parts ",character_traits__nature,women,sexuality,art,appearance,,
"though your selves [men] be common as the air, We must not take the air, we [women] must not fit Our actions to our own affectons",men,social_relations,nature,etiquette,emotions,,
"But as Geometricians Teach that no lines, nor superficies, Doe move themselves, but still accompany The motions of their bodies; so poor wives Must not pursue, nor have their own affections",education,spatial,movement,anatomy,matrimony,courting,emotions
"their husbands earnests, and their jests, To their austerities of looks, and laughters, (Though never so foolish and injurious) Like Parasites and slaves, fit their disposures.",matrimony,mental_faculty__state__entities,joviality,facial_expressions,derision__offense___contempt,social_relations,social_status
"I used thee as my soul, to move and rule me.",religion,movement,politics,,,,
"So said you, when you wooed. So Soldiers tortured With tedious sieges of some well-walled Town, Propound conditions of most large contents, Freedom of Laws, all former government;",language,courting,military,violence,urban,judiciary,politics
